variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,Species,Brood,Sex
b_Intercept,89.93902353042581,90.11224751188453,48.21377933608958,46.72027637761149,11.175771797210565,169.88495051465097,1.000997080536332,3910.9325150061454,3004.178653314697,Gonepteryx rhamni,Univoltine,Both
b_Year,-0.045378032870552254,-0.045410023522419574,0.012893655725041964,0.012899320124536033,-0.06627148525499463,-0.02413236913357577,1.0000317206959553,4276.905195176994,3110.2187323244784,Gonepteryx rhamni,Univoltine,Both
b_Develop_Temp,-0.8919591590276077,-0.884208981244248,0.5501782083415825,0.5507969063987094,-1.7854972694960347,0.015492244026950071,0.9997473034659903,3979.6887104075768,3118.4506646257005,Gonepteryx rhamni,Univoltine,Both
b_decimalLatitude,1.1854015339923099,1.1802146376481724,0.678422779827687,0.658459559440147,0.06368518815486808,2.3240613383265507,1.002257083118857,4217.59325287113,3012.8246675464,Gonepteryx rhamni,Univoltine,Both
sigma,3.2761034741986763,3.2621144804991467,0.24352979547234316,0.2288821953640506,2.9025951788178106,3.7068747870173713,0.9999506613468367,4226.826081694319,2570.9903177468354,Gonepteryx rhamni,Univoltine,Both
Intercept,55.12247612053224,55.129538001080526,0.32286173315837746,0.3312658123756964,54.6010961856937,55.65565029763712,1.0038739024053165,4308.201533934461,2901.4118088682726,Gonepteryx rhamni,Univoltine,Both
lprior,-4.39752916720295,-4.391845045530081,0.06344920299514925,0.05898397629749516,-4.513270953672493,-4.302398592688719,1.0001413329821798,4077.364564704935,2587.8486822962977,Gonepteryx rhamni,Univoltine,Both
lp__,-270.9247480812758,-270.5961681640173,1.6637057990880277,1.4657793106078145,-274.1750341037981,-268.876601051741,1.0005872731965835,2185.674055428975,2675.6145075747577,Gonepteryx rhamni,Univoltine,Both
b_Intercept,222.9174241277746,222.5408095900899,63.14813631568741,63.189077996356986,121.6641261313496,329.2948048087093,1.0003651650961074,3923.7422838288603,3022.056467836893,Pieris brassicae,Brood2,male
b_Year,-0.07557333525836069,-0.07547543021403338,0.016637389784574505,0.016619159634032953,-0.10262422617429104,-0.048641820768713394,1.0007270441100609,4205.821936898015,3264.9244496261113,Pieris brassicae,Brood2,male
b_Develop_Temp,-0.09599231800560873,-0.10612495513158707,0.39733344316667646,0.39430403668101044,-0.7393000562134376,0.5670620435824892,1.0022613986659572,4312.46474822207,3032.6176194448976,Pieris brassicae,Brood2,male
b_decimalLatitude,-0.34986345866153673,-0.35031035786107334,0.8238416769784037,0.822612163272987,-1.7276830750517864,1.0025879005988638,1.0006146824151527,4200.55107793916,3306.71909417598,Pieris brassicae,Brood2,male
