variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,Sp
b_Intercept,3.110261032641559,3.110558381372449,0.6603401255928601,0.6798648678316802,2.027521556344176,4.213018494466822,0.9999740257127938,5809.124619167529,3030.486805138041,Apatura iris
b_YearRescale,0.0038144072225296593,0.003508574347083693,0.024926342547234925,0.024556132166392786,-0.037161424853890915,0.043879676677078254,1.000319277000251,5732.187070872912,2704.7792834554243,Apatura iris
b_Temp,0.003682905345683671,0.003601446773124924,0.006260595281204129,0.006270933433657731,-0.006648382254304488,0.013946488862108114,1.0024325031668053,6778.356220426396,3000.9191116336438,Apatura iris
b_Latitude,0.00757941545769991,0.007607467496202098,0.01233375356274168,0.012484358782645795,-0.012897961064951757,0.027864559435100265,0.9998307338232351,6056.8329825590145,3167.072791506405,Apatura iris
b_Sexmale,-0.06576051973113563,-0.06555657539953519,0.013187710284852947,0.012909554174966297,-0.08737953351470377,-0.04431393514658051,0.9998821564988739,5673.839880077977,3359.134123732137,Apatura iris
b_Sexundetermined,-0.004182929787308023,-0.004301275594983041,0.0158028992685028,0.01576124523008212,-0.030464511219639084,0.02133861714500127,1.000370463401345,5564.09775970564,3097.9684792696044,Apatura iris
sigma,0.0634395272106147,0.06320852735187227,0.004122019358883977,0.003984267748478224,0.05702494716754162,0.07068889165849775,1.0002144403206852,4698.0595086119,2980.934471936572,Apatura iris
Intercept,3.535725420812365,3.5357557443646366,0.005825047488915249,0.005796051269814094,3.526187465724716,3.5451886130266006,1.0014874222959909,7170.31985372509,3330.8908890300654,Apatura iris
lprior,-3.141782787271107,-3.1417769128493784,7.243952142257375e-5,6.832096029120636e-5,-3.141915537332816,-3.1416755706414827,1.0018992916231697,5429.542188598064,3080.304696502215,Apatura iris
lp__,160.74175955072113,161.11676525413446,1.951919461163691,1.7120247413318506,156.99568174801573,163.23862108991017,1.0015233733759323,1856.4021006917399,2747.0113198150316,Apatura iris
b_Intercept,2.9344930483134313,2.9281022139280406,0.3805285239994196,0.37208692992369186,2.3115836536002807,3.558242306223867,1.0008349984328817,6442.574184762961,3079.529825058367,Thecla betulae
b_YearRescale,0.0727992479410989,0.07228233476434237,0.021718257501432046,0.021929962131739048,0.037662842262856114,0.10867652300822488,1.0005896940690353,5689.802466262223,3209.028692290931,Thecla betulae
b_Temp,0.002215110008299339,0.002076838498767138,0.005460693322906652,0.005501191886177673,-0.006783280434991643,0.011339450377663778,1.000304877269969,6202.732383437889,2932.625097182807,Thecla betulae
b_Latitude,-0.004087234048438507,-0.004073074652283096,0.006893489994600233,0.0067722255880235255,-0.015343059127160453,0.007054032180177352,1.0015241836155966,6350.307900631607,3145.7079964512377,Thecla betulae
b_Sexmale,-0.02217856660959396,-0.02225830492928409,0.009420804453821766,0.009575935020190413,-0.03787801210790539,-0.006674689609428371,1.0011712735994915,4755.878445029937,3387.4009035239937,Thecla betulae
b_Sexundetermined,0.003049572687985865,0.0029296938664553724,0.011717008076381891,0.011667992332423624,-0.015730252752672164,0.02246605247296144,1.0002037088809494,4823.766334471663,3220.7446028045247,Thecla betulae
sigma,0.05278949979877152,0.05268391264102584,0.002884306823216796,0.0028601123310305404,0.04833029930601328,0.05775167322597246,0.9999654955956704,5053.872954215706,3032.9921173360262,Thecla betulae
Intercept,2.8401098688756243,2.8401083953735116,0.004103329401995686,0.004165737540088285,2.8333987571482426,2.84690618627901,0.9996817967322027,6934.367574740067,3075.2896972954586,Thecla betulae
lprior,-3.187429146939548,-3.1874250909963155,5.647736347091254e-4,5.767414882727612e-4,-3.1883587103372957,-3.186504208691384,0.9998682746030315,6962.825070310048,3107.9218431933705,Thecla betulae
lp__,245.98553937610436,246.27422455683893,1.8672257832015728,1.7725791073177746,242.606470480207,248.46391148942618,1.001435752562093,1880.2183813225338,2542.8716885103613,Thecla betulae
b_Intercept,3.4306096278811453,3.4315410912376807,0.8786779037391838,0.9103717887922436,1.9866915645095244,4.846471101537266,1.0007841108170221,5715.071032664061,2859.9685219766116,Papilio machaon
b_YearRescale,0.06715271988816887,0.06745164019872935,0.02149029392603133,0.021509570520466717,0.03204363358977384,0.10225523533868022,1.000673983054247,5881.615147242471,3322.882799016713,Papilio machaon
b_Temp,-0.0018133199272508602,-0.001720958019387926,0.006854554117723483,0.0069225679703161245,-0.01308027327138316,0.00907061737048066,1.0015012101035468,5805.345306469242,3274.0604217727205,Papilio machaon
b_Latitude,0.003298586896470983,0.003058449255020193,0.01642329405881257,0.01711505539251545,-0.02300282773583028,0.030784267295399906,1.0011433751985952,5718.499026390011,2860.364191153551,Papilio machaon
b_Sexmale,-0.07361038491915213,-0.0741405437040218,0.03140950335625902,0.03227336360138711,-0.12372624552044517,-0.020600757741423323,0.9999243883196229,4629.923440863849,3451.7022677852015,Papilio machaon
b_Sexundetermined,-0.03679220933593477,-0.03718204683801808,0.015069564845740199,0.015370546189390925,-0.0611050327139606,-0.011872248764633777,1.0002618623244846,4933.403565150771,3329.285854325524,Papilio machaon
sigma,0.06913364093709025,0.0689756401577579,0.0039172028874488235,0.0038598212036431196,0.06306645352465193,0.07579022391813925,1.0002444604783765,4928.113502500011,3244.7679478504706,Papilio machaon
Intercept,3.6326428995407856,3.6327050568287316,0.005398869429992957,0.005459860657690108,3.6237137477184933,3.641364647413225,1.0016658436410306,6611.526002717663,3038.4707687532778,Papilio machaon
